True_Energy,mean,mean_error,True_T,sig,sig_error
9,45.5750088245676,0.8820268851044061,80,46.94670435708025,0.6237972961914122
14,46.54795486600846,1.11128796860125,80,59.18064930204623,0.7859378351643463
19,37.38524011299435,0.9987093467127981,80,53.14785468188701,0.7063188656949182
5,48.12557319223986,0.5748400458825452,80,30.60719616565604,0.4065450019236343
28,24.745146487822097,0.6999815225652923,80,37.25716999136801,0.49504906090078105
38,16.57147924796027,0.29205681891306834,80,15.506539454376561,0.20655199608049354
33,19.88249911253106,0.4537802312833146,80,24.084575473133583,0.3209280464995528
43,14.595828838547286,0.26190515292289385,80,13.811617344965672,0.18522821510164264
62,10.24945215485756,0.20468878236003668,80,10.71052512693035,0.1447632644042439
66,9.63556531284303,0.197871830185001,80,10.344363818380627,0.13994211756207148
57,11.375678610206297,0.22491622064010067,80,11.822551641938981,0.15906857290037163
52,12.126269956458636,0.2226678513871304,80,11.689532024251076,0.15747852038361487
